Tarih,CPI_Endeks
01.01.2015,239.16
01.02.2015,240.86
01.03.2015,243.72
01.04.2015,247.7
01.05.2015,249.08
01.06.2015,247.81
01.07.2015,248.04
01.08.2015,249.03
01.09.2015,251.24
01.10.2015,255.14
01.11.2015,256.85
01.12.2015,257.39
01.01.2016,262.07
01.02.2016,262.02
01.03.2016,261.91
01.04.2016,263.96
01.05.2016,265.49
01.06.2016,266.74
01.07.2016,269.83
01.08.2016,269.05
01.09.2016,269.53
01.10.2016,273.41
01.11.2016,274.83
01.12.2016,279.34
01.01.2017,286.21
01.02.2017,288.53
01.03.2017,291.47
01.04.2017,295.29
01.05.2017,296.62
01.06.2017,295.82
01.07.2017,296.26
01.08.2017,297.81
01.09.2017,299.74
01.10.2017,305.98
01.11.2017,310.53
01.12.2017,312.68
01.01.2018,315.87
01.02.2018,318.17
01.03.2018,321.32
01.04.2018,327.33
01.05.2018,332.63
01.06.2018,341.32
01.07.2018,343.19
01.08.2018,351.09
01.09.2018,373.2
01.10.2018,383.17
01.11.2018,377.65
01.12.2018,376.14
01.01.2019,380.13
01.02.2019,380.74
01.03.2019,384.66
01.04.2019,391.16
01.05.2019,394.87
01.06.2019,394.99
01.07.2019,400.37
01.08.2019,403.81
01.09.2019,407.81
01.10.2019,415.96
01.11.2019,417.54
01.12.2019,420.63
01.01.2020,426.31
01.02.2020,427.8
01.03.2020,430.24
01.04.2020,433.9
01.05.2020,439.8
01.06.2020,444.77
01.07.2020,447.35
01.08.2020,451.2
01.09.2020,455.57
01.10.2020,465.28
01.11.2020,475.98
01.12.2020,481.93
01.01.2021,490.02
01.02.2021,494.48
01.03.2021,499.82
01.04.2021,508.22
01.05.2021,512.74
01.06.2021,522.69
01.07.2021,532.1
01.08.2021,538.06
01.09.2021,544.78
01.10.2021,557.81
01.11.2021,577.38
01.12.2021,655.79
01.01.2022,728.59
01.02.2022,763.63
01.03.2022,805.33
01.04.2022,863.71
01.05.2022,889.45
01.06.2022,933.48
01.07.2022,955.6
01.08.2022,969.55
01.09.2022,999.42
01.10.2022,1034.79
01.11.2022,1064.6
01.12.2022,1077.16
01.01.2023,1148.79
01.02.2023,1201.44
01.03.2023,1252.67
01.04.2023,1310.43
01.05.2023,1393.84
01.06.2023,1451.22
01.07.2023,1521.03
01.08.2023,1608.76
01.09.2023,1697.3
01.10.2023,1789.45
01.11.2023,1872.11
01.12.2023,1947.62
01.01.2024,2034.18
01.02.2024,2153.41
01.03.2024,2267.89
01.04.2024,2385.12
01.05.2024,2471.33
01.06.2024,2534.67
01.07.2024,2612.45
01.08.2024,2689.23
01.09.2024,2751.08
01.10.2024,2823.91
01.11.2024,2892.44
01.12.2024,2945.17
01.01.2025,3012.88
01.02.2025,3078.34
01.03.2025,3139.72
01.04.2025,3198.51
01.05.2025,3247.45
01.06.2025,3291.94
01.07.2025,3359.75
01.08.2025,3428.29
01.09.2025,3539.02
01.10.2025,3629.27
01.11.2025,3660.84
01.12.2025,3693.43
01.01.2026,3872.19
01.02.2026,3986.8
01.03.2026,4064.15
01.04.2026,4234.03
